sentence,class
United Kitchens is a company with shared kitchens for caterer  cook or food entrepreneurs in IleDe France,Irrelevant
 The process starts when the customer goes on the website www unitedkitchens fr and writes a message via the information request form,Relevant
 A united kitchens  employee sends an e mail and ask if they are available for a telephone meeting,Relevant
 The client answers,Relevant
 A united kitchen s employee calls the client and discusses about his needs and their offers,Relevant
 We agree on a time slot for the laboratory visit,Relevant
 The customer visits,Relevant
 The customer can take a break and take a coffee in the hall,Irrelevant
 Then  the customer comes back to the united kitchens  employee with a specific request,Relevant
 This request corresponds to the formula of united kitchens  offer that best suits his needs,Irrelevant
 The united kitchens  employee writes the contract 11  The united kitchens  employee sends the contract to have an electronic signature,Relevant
 The client can sign the contract on his phone  computer ,Irrelevant
 The client signs the contract,Relevant
 The process is finalized,Relevant
The process starts when a couple wants to go for a city trip in Belgium ,Relevant
The couple makes a choice between several cities ,Relevant
The couple makes a choice between several housings and sends request to the housing owner ,Relevant
Housing owner is notified that a couple wants to book a night ,Relevant
Housing owner asks for couple s personal information such as first name  date of birth  number of passport  ID card  and it is valid for 7 days ,Relevant
If there is no answer from the couple within 7 days regarding the personal information  the housing owner sends a reminder and waits for another 48 hours ,Relevant
If there is no answer within the 48 hours  the request is cancelled  and housing owner notifies the couple ,Relevant
After the booking is done  housing owner sends a link to proceed the payment online to the couple and it is valid for 3 days ,Relevant
One day before the expiration date  housing owner sends a reminder to couple if the payment is not received ,Relevant
When the payment is received  housing owner sends the order confirmation  ,Relevant
If no payment is received within 3 days  the booking is cancelled  and housing owner notifies the couple ,Relevant
The process starts when Chloé wants to pass her driver s license ,Relevant
Employees are notified by email that Chloé wants to pass her license ,Relevant
An employee asks for the date by responding to the email ,Relevant
Chloé communicates her availabilities by responding to the email ,Relevant
Then  she waits for several days ,Relevant
Then she decides to practice again her manoeuvres ,Relevant
Meanwhile  the employee is checking availability ,Relevant
Then she passes the driving license ,Relevant
An employee gives her the certificate of achievement ,Relevant
Chloé takes the certificate and leaves the place  the process is finished ,Relevant
The recruitment process starts with a presentation to the 1st and 2nd year bachelor students to introduce them to the company  its project  the role of the students   and to inform them that the recruitment period will start two weeks later,Relevant
 These presentations are made exclusively in French,Irrelevant
 At the same time  activities are organised for interested people to get to know the company members in a more informal way,Relevant
 For example  these activities take the form of online drinks  escape games where the members of the company are mixed with the other participants  etc,Irrelevant
 The first week of the recruitment period is devoted to sending the candidates  CVs and their covering letters,Relevant
 The next two weeks consist of the analysis of the CVs and cover letters,Relevant
 Individual interviews are also conducted with the candidates during this period to learn more about them,Relevant
 These interviews take place in the company s offices,Irrelevant
 Candidates matching the required profiles are hired,Relevant
 If there are still vacancies  the company makes a new presentation and starts the process again until the desired profiles are found,Relevant
First  the customer places the desired items in their online shopping cart,Relevant
 They then proceed to check out their order,Relevant
 If they are satisfied  they select the way they want their order to be shipped and  if necessary  indicate the shipping address,Relevant
 They then fill in the details to make their payment,Relevant
 Once the payment has been received by the company  the order is validated and a recap email is sent to the customer,Relevant
 In parallel  the company contacts its warehouse to prepare the order,Relevant
 When the order is ready to be shipped  the company sends an email to inform the customer that the order is about to be shipped,Relevant
 The company then contacts its subcontractor who handles the deliveries to ship the product to the customer,Relevant
 During the contact between the company and its subcontractor  the subcontractor may talks about its cash flow problems and asks to be paid more quickly,Relevant
 When the package has been delivered  the company sends an email to the customer to confirm that he has received his order and  if he wishes  he can complete a satisfaction questionnaire,Relevant
 The satisfaction questionnaire is not mandatory,Irrelevant
       Uber Eats is a meal delivery service launched by Uber in 2015 and based in San Francisco  California,Irrelevant
       The process starts when the customer places an order through the Uber eats application,Relevant
       For example  a Big Mac Menu at Mcdonalds,Irrelevant
       Then the restaurant receives the customer s order and starts to prepare it,Relevant
       When the restaurant has almost finished preparing the order  an employee starts the automatic search for a delivery person,Relevant
       A delivery person receives the order and goes to the restaurant to collect it,Relevant
       The restaurant gives the order to the deliveryman and he starts his delivery,Relevant
       At that moment  the customer receives a notification and he can follow the deliverer through the map of the application,Relevant
       The delivery man arrives at the customer s home and gives him his order,Relevant
   The customer receives the order and checks if the order is complete,Relevant
   If something is missing the customer must contact the restaurant to receive the missing meal,Relevant
   The customer marks the delivery as completed and the delivery person does the same,Relevant
 The process is finished,Relevant
       Prozis is a European brand of sports nutrition  proteins  food supplements and clothing with quality products at the best price,Irrelevant
       The process starts when a customer places an order on Prozis com,Relevant
       The order is registered as soon as the order is paid,Relevant
       Then  the order is prepared by the employees,Relevant
       When the order is complete  it is marked as ready to ship,Relevant
       When a carrier is available  the order is shipped,Relevant
       For each of the previous steps  the customer receives a notification on the website about the status of the step,Relevant
       One day before the reception of his order  the customer receives a sms concerning the approximate hour of delivery,Relevant
       If the customer is not at home  the order is dropped off at the nearest relay point,Relevant
   Then the customer receives or goes at the nearest relay point to get his order,Relevant
   The process ends when the customer receives the order,Relevant
      A client enters the restaurant to order food to go,Relevant
      The waiter goes to him to take his order,Relevant
