Sentense,Class
The party sends a warrant possession request asking a warrant to be released,1
The Client Service Back Office as part of the Small Claims Registry Operations receives the request and retrieves the SCT file,1
Then the SCT Warrant Possession is forwarded to Queensland Police,1
The SCT physical file is stored by the Back Office awaiting a report to be sent by the Police,1
When the report is received the respective SCT file is retrieved,1
Then Back Office attaches the new SCT document and stores the expanded SCT physical file,1
After that some other MC internal staff receives the physical SCT file (out of scope),1
These are received by the Secretariat in the central inbox and forwarded after a short visual inspection to an accounting employee,1
In ACME Financial Accounting a software specially developed for the ACME AG she identifies the charging suppliers and creates a new instance (invoice),1
She then checks the invoice items and notes the corresponding cost center at the ACME AG and the related cost center managers for each position on a separate form (docket),1
The docket and the copy of the invoice go to the internal mail together and are sent to the first cost center manager to the list,1
He reviews the content for accuracy after receiving the copy of the invoice,1
Should everything be in order he notes his code one on the docket (accurate position - AP) and returns the copy of the invoice to the internal mail,1
From it the copy of the invoice is passed on to the next cost center manager based on the docket or if all items are marked correct sent back to accounting,1
Therefore the copy of invoice and the docket gradually move through the hands of all cost center managers until all positions are marked as completely accurate,1
However if inconsistencies exist e.g. because the ordered product is not of the expected quantity or quality the cost center manager rejects the AP with a note and explanatory statement on the docket and the copy of the invoice is sent back to accounting directly,1
Based on the statements of the cost center managers she will proceed with the clarification with the vendor but if necessary she consults the cost center managers by telephone or e-mail again,1
When all inconsistencies are resolved the copy of the invoice is sent to the cost center managers again and the process continues,1
After all invoice items are AP the accounting employee forwards the copy of the invoice to the commercial manager,1
He makes the commercial audit and issues the approval for payment,1
If the bill amount exceeds EUR 20 000 the Board wants to check it again (4-eyes-principle),1
The copy of the invoice including the docket moves back to the accounting employee in the appropriate signature file,1
Should there be a complaint during the commercial audit it will be resolved by the accounting employee with the supplier,1
After the commercial audit is successfully completed the accounting employee gives payment instructions and closes the instance in ACME financial accounting,1
The loan approval process starts by receiving a customer request for a loan amount,1
The risk assessment Web service is invoked to assess the request,1
If the loan is small and the customer is low risk the loan is approved,1
If the customer is high risk the loan is denied,1
If the customer needs further review or the loan amount is for $10 000 or more the request is sent to the approver Web service,1
The customer receives feedback from the assessor or approver,1
The process of Vacations Request starts when any employee of the organization submits a vacation request,1
Once the requirement is registered the request is received by the immediate supervisor of the employee requesting the vacation,1
The supervisor must approve or reject the request,1
If the request is rejected the application is returned to the applicant/employee who can review the rejection reasons,1
If the request is approved a notification is generated to the Human Resources Representative who must complete the respective management procedures,1
The process of Vacations Request starts when any employee of the organization submits a vacation request,1
Once the requirement is registered the request is received by the immediate supervisor of the employee requesting the vacation,1
The supervisor must approve or reject the request,1
If the request is rejected the process will end,1
If the request is asked to make a change then it is returned to the petitioner/employee who can review the comments for the change request,1
If the request is approved it will go to the purchase department that will be in charge of making quotations (using a subprocess) and select a vendor,1
If the vendor is not valid in the system the purchase department will have to choose a different vendor,1
After a vendor is selected and confirmed the system will generate and send a purchase order and wait for the product to be delivered and the invoice received,1
In any case the system will send a notification to let the user know what the result was,1
In any of the cases approval rejection or change required the system will send the user a notification,1
First the Manager checks the open leads,1
Afterwards he selects the top five ones,1
He then tells his Sales Assistant to call the contact person of the leads,1
The Sales Assistant calls each customer,1
If someone is interested he sends a note to the Manager,1
The Manager then processes the lead,1
Otherwise he calls the next customer,1
The customer enters the withdrawal amount,1
The ATM returns cash to the customer and changes his account balance,1
If the balance on customer’s account is less than the withdrawal amount the ATM returns an error,1
In a bowl mix the lemon juice olive oil Dijon mustard garlic red bell pepper salt and pepper,1
Set aside 1/4 cup of the mixture to use for basting,1
Place chicken in the bowl and marinate at least 20 minutes in the refrigerator,1
Preheat grill for high heat,1
Lightly oil grill grate,1
Drain and discard marinade from the bowl and place chicken on the grill,1
Cook to minutes on each side until juices run clear basting occasionally with the reserved marinade,1
An employee purchases a product or service he requires,1
The employee submits an expense report with a list of items along with the receipts for each item,1
A supervisor reviews the expense report and approves or rejects the report,1
If the supervisor rejects the report the employee who submitted it is given a chance to edit it,1
If the supervisor approves the report it goes to the treasurer,1
The treasurer checks that all the receipts have been submitted and match the items on the list,1
If all is in order the treasurer accepts the expenses for processing,1
If receipts are missing or do not match the report he sends it back to the employee,1
If a report returns to the employee for corrections it must again go to a supervisor even if the supervisor previously approved the report,1
If the treasurer accepts the expenses for processing the report moves to an automatic activity that links to a payment system,1
The process waits for the payment confirmation,1
After the payment is confirmed the process ends,1
Every time we get a new order from the sales department first one of my masters determines the necessary parts and quantities as well as the delivery date,1
Once that information is present it has to be entered into our production planning system (PPS),1
It optimizes our production processes and creates possibly uniform work packages so that the setup times are minimized,1
Besides it creates a list of parts to be procured,1
so the data must be transferred manually,1
Once all the data is present we need to decide whether any parts are missing and must be procured or if this is not necessary,1
Once production is scheduled to start we receive a notice from the system and an employee takes care of the implementation,1
Finally the order will be checked again for its quality,1
The intake workflow starts with a notice by telephone at the secretarial office of the mental health care institute,1
The secretarial worker inquires after the name and residence of the patient,1
On the basis of this information the doctor is put through to the nursing officer responsible for the part of the region that the patient lives in,1
The nursing officer makes a full inquiry into the mental health and social state of the patient in question,1
This information is recorded on a registration form,1
At the end of the conversation this form is handed in at the secretarial office of the institute,1
Here the information on the form is stored in the information system and subsequently printed,1
For new patients a patient file is created,1
At the secretarial office two registration cards are produced for respectively the future first and second intaker of the patient,1
The new patient is added on the list of new notices,1
Halfway the week at Wednesday a staff meeting of the entire medical team takes place,1
At this meeting the team-leader assigns all new patients on the list of new notices to members of the team,1
The assignments are recorded on an assignment list which is handed to the secretarial office,1
For each new assignment it is also determined whether the medical file of the patient is required,1
This information is added to the assignment list,1
The secretarial office stores the assignment of each patient of the assignment list in the information system,1
It passes the produced registration cards to the first and second intaker of each newly assigned patient,1
For each patient for which the medical file is required the secretarial office prepares and sends a letter to the family doctor of the patient requesting for a copy of the medical file,1
As soon as this copy is received the secretarial office will inform the second intaker and add the copy to the patient file,1
The first intaker plans a meeting with the patient as soon as this is possible,1
During the first meeting the patient is examined using a standard checklist which is filled out,1
Additional observations are registered in a personal notebook,1
After a visit the first intaker puts a copy of these notes in the file of a patient,1
The standard checklist is also added to the patients file,1
The second intaker plans the first meeting only after the medical information of the physician -if required -has been received,1
Physicians use dictaphones to record their observations made during meetings with patients,1
The secretarial office types out these tapes after which the information is added to the patient file,1
As soon as the meetings of the first and second intaker with the patient have taken place the secretarial office puts the patient on the list of patients that reach this status,1
For the staff meeting on Wednesday they provide the team-leader with a list of these patients,1
For each of these patients the first and second intaker together with the team-leader and the attending psychiatrist formulate a treatment plan,1
This treatment plan formally ends the intake procedure,1
At the beginning the customer perceives that her subscribed service has degraded,1
A list with all the problem parameters is then sent to the Customer Service department of TELECO,1
At the customer service an employee enters (based on the received data) a problem report into system T,1
Then the problem report is compared to the customer SLA to identify what the extent and the details of the service degradation are,1
Based on this the necessary counter measures are determined including their respective priorities,1
An electronic service then determines the significance of the customer based on information that has been collected during the history of the contractual relationship,1
In case the customer is premium the process will link to an extra problem fix process,1
In case the customer is of certain significance which would affect the counter measures previously decided upon the process goes back to re-prioritize these measures -otherwise the process continues,1
Taking together the information a detailed problem report is created,1
The detailed problem report is then sent to Service Management,1
Service Management deals on a first level with violations of quality in services that are provided to customers,1
After receiving the detailed problem report Service management investigates whether the problem is analyzable at the level of their department or whether the problem may be located at Resource Provisioning,1
In case Service Management assesses the problem to be not analyzable by themselves the detailed problem report is sent out to Resource Provisioning,1
If Service Management is sure they can analyze it they perform the analysis and based on the outcome they create a trouble report that indicates the type of problem,1
After Resource Provisioning receives the detailed problem report it is checked whether there are any possible problems,1
If no problems are detected a notification about the normal service execution is created,1
If a problem is detected this will be analyzed by Resource Provisioning and a trouble report is created,1
Either trouble report or the ‘normal execution’ notification will be included in a status report and sent back to Service Management,1
Service Management then prepares the final status report based on the received information,1
Subsequently it has to be determined what counter measures should be taken depending on the information in the final status report,1
For the case that no problem was detected at all the actual service performance is sent back to the Customer Service,1
For the case that minor corrective actions are required Service Management will undertake corrective actions by themselves,1
Subsequently the problem resolution report is created and then sent out to Customer Service,1
After sending this process path of Service Management ends,1
For the case that automatic resource restoration from Resource Provisioning is required Service Management must create a request for automatic resource restoration,1
This message is then sent to Resource Provisioning,1
Resource Provisioning has been on-hold and waiting for a restoration request but this must happen within 2 days after the status report was sent out otherwise Resource Provisioning terminates the process,1
After the restoration request is received all possible errors are tracked,1
Based on the tracked errors all necessary corrective actions are undertaken by Resource Provisioning,1
Then a trouble-shooting report is created,1
This report is sent out to Service Management then the process ends,1
The trouble-shooting report is received by Service Management and this information goes then into the creation of the problem resolution report just as described for ii),1
Customer Service either receives the actual service performance (if there was no problem) or the problem resolution report,1
Then two concurrent activities are triggered i.e. i) a report is created for the customer which details the current service performance and the resolution of the problem and ii) an SLA violation rebate is reported to Billing & Collections who will adjust the billing,1
The report for the customer is sent out to her,1
After all three activities are completed the process ends within Customer Service,1
After the customer then receives the report about service performance and problem resolution from Customer Service the process flow at the customer also ends,1
The process is initiated by a switch-over request,1
In doing so the customer transmits his data to the customer service department of the company,1
The customer data is received by customer service and based on this data a customer data object is entered into the CRM system,1
After customer data has been entered it should then be compared with the internal customer data base and checked for completeness and plausibility,1
In case of any errors these should be corrected on the basis of a simple error list,1
In case the customer does not exist in the customer data base a new customer object is being created which will remain the data object of interest during the rest of the process flow,1
The generated customer object is then used in combination with other customer data to prepare the contract documents for the power supplier switch,1
In the following an automated check of the contract documents is carried out within the CIS (customer information system) in order to confirm their successful generation,1
In case of a negative response the causing issues are being analyzed and resolved,1
Subsequently the contract documents are generated once again,1
In case of a positive response a confirmation document is sent out to the customer stating that the switch-over to the new supplier can be executed,1
A request to the grid operator is automatically sent out by the CIS,1
It puts the question whether the customer may be supplied by the selected supplier in the future,1
The switch-over request is checked by the grid operator for supplier concurrence and the grid operator transmits a response comment,1
In the case of supplier concurrence the grid operator would inform all involved suppliers and demand the resolution of the conflict,1
The grid operator communicates with the old supplier and carries out the termination of the sales agreement between the customer and the old supplier,1
If there are not any objections by the grid operator customer service creates a CIS contract,1
The customer then has the chance to check the contract details and based on this check may decide to either withdraw from the switch contract or confirm it,1
Depending on the customer’s acceptance/rejection the process flow at customer service either ends (in case of withdrawal) or continues (in case of a confirmation),1
After the 7th day the contract will be regarded as accepted and the process continues,1
On the switch-date but no later than 10 days after power supply has begun the grid operator transmits the power meter data to the customer service and the old supplier via messages containing a services consumption report,1
At the same time the grid operator computes the final billing based on the meter data and sends it to the old supplier,1
Likewise the old supplier creates and sends the final billing to the customer,1
For the customer as well as the grid operator the process ends then,1
After receiving the meter data customer service imports the meter data to systems that require the information,1
The process of “winning” a new customer ends here,1
Sometimes we buy details for cold calls sometimes our marketing staff participates in exhibitions and sometimes you just happen to know somebody who is interested in the product,1
Then we start calling the customer,1
That is done by the call center staff,1
They are determining the contact person and the budget which would be available for the project,1
Of course asking the customer whether he is generally interested is also important,1
If this is not the case we leave him alone except if the potential project budget is huge,1
Then the head of development personally tries to acquire the customer,1
If the customer is interested in the end the next step is a detailed online presentation,1
