the process begins when the buyer adds an item to their aliexpress basket ,Relevant
the seller receives the notification ,Relevant
if the buyer does not pay   the seller sends a reminder to the buyer ,Relevant
the buyer completes his personal information (delivery address) ,Relevant
the buyer proceeds to payment ,Relevant
Aliexpress keeps the payment ,Relevant
the seller carries out the order within 48 hours ,Relevant
the seller sends the order ,Relevant
the buyer receives confirmation that his order has been sent ,Relevant
the buyer receives the package and confirms its receipt on the site ,Relevant
Aliexpress pays the seller   the process is finished,Relevant
The buyer receives the package and is not satisfied ,Relevant
the buyer contacts the seller and try to find a solution ,Relevant
if no solution found ,Relevant
the buyer opens a dispute with the seller on aliexpress ,Relevant
 AliExpress acts as the intermediary between the 2 parties ,Irrelevant
 if a quality issues   color difference / poor quality/damage     the buyer sending proofs too aliexpress ,Relevant
aliexpress decide in favor of the buyer ,Relevant
 the buyer returns the package ,Relevant
The seller resends the package or he platform aliexpress refund the buyer and the process is finished,Relevant
 The process starts when a customer stops at the terminal ,Relevant
 The customer makes an order ,Relevant
 The terminal requires the payment ,Relevant
 The customer pays by card ,Relevant
 The customer receives a ticket ,Relevant
 An employee receives a notification ,Relevant
 Meanwhile KFC employees are preparing his order in the kitchen ,Relevant
 The order is done ,Relevant
 The customer is called by his number ticket ,Relevant
 The customer takes his order and leaves KFC   the process is finished,Relevant
The process starts when a customer takes a ticket to the terminal ,Relevant
 Employees receive a notification ,Relevant
 An employee available ask the customer to come ,Relevant
 The customer communicates his request ,Relevant
 The customer asks for some information ,Relevant
 The employee makes the change ,Relevant
 The payment is required ,Relevant
 The customer has the possibility to pay by cash or by card ,Irrelevant
 The employee provides new documents ,Relevant
 The customer takes his new documents and leaves   the process is finished,Relevant
TEC is a public transport,Irrelevant
He starts when the passenger want to buy his subsription at the  sales automatons,Relevant
When he puts his subscription  the automan welcomes him,Relevant
And offers him the different regions of the country,Relevant
After He chooses the budget that fits his modality,Relevant
For the payement method  he gets the message to put his bank card   at the same time his subscription title also,Relevant
After the processing the automan confirms the payement,Relevant
The automatan reminds you of don’t forget your card,Relevant
Then he has the subscription receipt printed,Relevant
Yoursurprise is a gift shop,Irrelevant
The process begins when the customer chooses the customer mug,Relevant
client  service sends the message to customize the chosen command,Relevant
Then the customer does the editing through  the design the photo  the text  …,Relevant
After editing client service asks you to check you gift,Relevant
You can go back edit if you are not satisfied,Relevant
While  client service deals ordered you at the same time it offers you a greeting card to fill out for free to accompany your surprise,Relevant
then you can save your data for the delivery method,Relevant
The  customer cans pay by bancontact  bankcard  transfer  paypal…,Irrelevant
After the order confirmation message is send,Relevant
And delivery takes place in two days,Relevant
       HEC is the management school of the university of Liege,Irrelevant
       To get admission   you must first creat an uliege account on the university website   Using an E-mail   and a password,Relevant
       Upon opening the school webpage   the student is asked to introduce some personal information and downloading of certain document depending on the application level,Relevant
       If it is for master’s degree you can be asked documents like bachelor’s degree   advanced level   ID   etc,Relevant
       The student then receives a message from the school confirming reception of admission request,Relevant
       A period of 3 to 4 months is taken by the school to evaluate if the conditions are met,Relevant
       The document is transfered to the school jury members,Relevant
       The university has many jury members depending on department and faculty  ,Irrelevant
       If the conditions are not met   the request is automatically rejected,Relevant
   If the document is incomplete and the conditions are met   the school send a mail to the student for asking and addition document,Relevant
   If the student deliver’s the document   his admission is approved or else cancelled,Relevant
   If the document is complete and the conditions are met   the student receives a mail from the school telling him/her he has being admitted,Relevant
      SNCB is the Belgian railway transport,Irrelevant
      When a job has being advertised at SNCB website   job searcher postulates by introducing their CV on the company website,Relevant
      The HR department receives the CV ,Relevant
      SNCB has a subbranch INFRABEL which does with all what is technical   and they have different HR department and HR jury’s,Irrelevant
      2 to 1 month is taken to evaluate the different CV,Relevant
      If a candidate’s profile matches with the job description   he continues the process   if not his process ends there   At least 10 candidates are selected,Relevant
      Then screening is done with these candidates on phone,Relevant
  This process leads to reselection   if the candidates convince the HR   he continues the process or else the candidates file is rejected,Relevant
  A physical interview is now conducted with the remaining candidates,Relevant
  They are asked question on their skills   competences   motivation   likes   dislikes etc,Relevant
  The HR sit back after and amongst the candidate with whom they performed the physical interview   they choose the best,Relevant
Camergo is a travel agency based in Douala,Irrelevant
 The process begins when a Person Schedules a trip,Relevant
 He goes to the agency or contact them by phone   e-mail   message to book a ticket,Relevant
 The travel agency informs the Customer of the availability of the ticket or not,Relevant
The Customer proceeds to the payment either in cash or by Transfer,Relevant
 The Customer provides proof of payment,Relevant
 The Agency verifies the effectiveness of the payment,Relevant
 The travel agency notifies the Customer of the effective payment,Relevant
 The ticket is drawn up in the name of the customer,Relevant
 The Customer collets his ticket from an agency or by mail and the process ends.,Relevant
 HEC Liège is a prestigious management school which receives hundreds of national and international students every year,Irrelevant
 The process begins when the student receives an authorization to enroll at the University of Liège,Relevant
 The Student Will go to the Belgian diplomatic post in his country for visa formalities,Relevant
  The Student  pays his ticket and makes the trip to Belgium,Relevant
 The Student reserves accommodation for his home,Relevant
 The student goes to the place of August 20 to finalize his registration and obtain his student card,Relevant
 The student Will travels from the Place du 20 Aout to get to HEC on foot   by bus or by car,Relevant
 The Student goes to the apparitorat to take his course program,Relevant
 The Apparitorium checks the effectiveness of its registration and then gives it its course program,Relevant
 The Student go to the classrooms to start these lessons.,Relevant
The process starts when a customer enters the store,Relevant
 A small bell notifies the employees that a customer has entered the store,Relevant
 Either the customer does not have a specific idea and in this case the employee lets the customer look for a few minutes,Relevant
 Or the customer knows what he wants and notifies the employee,Relevant
 Or he leaves the store,Relevant
 In the first case   after a few minutes of waiting   the employee comes to help the customer who either makes a choice and notifies it   or leaves the store,Relevant
 The customer can choose clothes from the new collection or from the old one,Irrelevant
 When the customer notifies his choice   the employee checks if the desired garment is still in stock,Relevant
 The stock is located upstairs,Irrelevant
 If it is still available   the customer goes to the cashier and makes the payment,Relevant
If not   the employee suggests that the customer place an order on the Internet directly from the store,Relevant
 If the customer accepts   the employee places the order on the computer and the customer goes to the cashier to pay,Relevant
The restaurant is an Italian restaurant open every day except Sunday.,Irrelevant
The process begins when the customer enters the restaurant,Relevant
 The customer waits at the counter for a waiter to arrive,Relevant
 The waiter first asks if the customer has a reservation,Relevant
 If so   he takes him to his table and gives him a menu,Relevant
 If not   the waiter checks if there are any tables available,Relevant
 If a table is available   the customer is taken to it and the waiter gives him a menu,Relevant
 If there are no more tables available   the server notifies the client and the client leaves,Relevant
 Once the customer is seated   the waiter lets 10 minutes pass,Relevant
 He then comes back to take the order,Relevant
 Either the customer knows what he wants and notifies the customer   for example   a margherita pizza   or he doesn't know and the waiter lets another 10 minutes pass before coming back,Relevant
 The waiter leaves with the order and takes it to the cooks,Relevant
 During the preparation time of the dishes   the waiter brings the drink and olives to the customer,Relevant
 When the dish is ready   the cook notifies the waiter with a small bell,Relevant
 The waiter takes the dish and brings it to the customer who can enjoy his meal,Relevant
 Erasmus’t is an accommodation company for Erasmus students in Liege. ,Irrelevant
 The process starts when the customer goes on the website erasmus.eu   choses a house and goes on the link applied for a room. ,Relevant
 The future tenant can choose between eight houses. ,Irrelevant
 The future tenant choses the period of his stay and the user details (first name   mobile number  …) and fills it on the website. ,Relevant
 The future tenant clicks on « check the availability » after filing all the fields. ,Relevant
 You receive a mail as confirmation. ,Relevant
 Then   one of the owner call you to have more information. ,Relevant
 You have to pay the rent and the deposit in advance as reservation. ,Relevant
 All the houses have one washing machine   an oven and a free Wi-Fi,Irrelevant
 Then   when you come for your Erasmus exchange   they pick you up at the train station and drive you to your house. ,Relevant
 They give you your keys and check your room (for the caution)   the room is yours for the period of your stay. ,Relevant
The process is finalized.,Relevant
United Kitchens is a company with shared kitchens for caterer   cook or food entrepreneurs in IleDe-France,Irrelevant
 The process starts when the customer goes on the website www.unitedkitchens.fr and writes a message via the information request form,Relevant
 A united kitchens’ employee sends an e-mail and ask if they are available for a telephone meeting,Relevant
 The client answers,Relevant
 A united kitchen’s employee calls the client and discusses about his needs and their offers,Relevant
 We agree on a time slot for the laboratory visit,Relevant
 The customer visits,Relevant
 The customer can take a break and take a coffee in the hall,Irrelevant
 Then   the customer comes back to the united kitchens’ employee with a specific request,Relevant
 This request corresponds to the formula of united kitchens’ offer that best suits his needs,Irrelevant
 The united kitchens’ employee writes the contract 11- The united kitchens’ employee sends the contract to have an electronic signature,Relevant
 The client can sign the contract on his phone   computer  ,Irrelevant
 The client signs the contract,Relevant
 The process is finalized,Relevant
The process starts when a couple wants to go for a city-trip in Belgium.,Relevant
The couple makes a choice between several cities.,Relevant
The couple makes a choice between several housings and sends request to the housing owner.,Relevant
Housing owner is notified that a couple wants to book a night.,Relevant
Housing owner asks for couple’s personal information such as first name   date of birth   number of passport   ID card… and it is valid for 7 days.,Relevant
If there is no answer from the couple within 7 days regarding the personal information   the housing owner sends a reminder and waits for another 48 hours.,Relevant
If there is no answer within the 48 hours   the request is cancelled   and housing owner notifies the couple.,Relevant
After the booking is done   housing owner sends a link to proceed the payment online to the couple and it is valid for 3 days.,Relevant
One day before the expiration date   housing owner sends a reminder to couple if the payment is not received.,Relevant
When the payment is received   housing owner sends the order confirmation. ,Relevant
If no payment is received within 3 days   the booking is cancelled   and housing owner notifies the couple.,Relevant
The process starts when Chloé wants to pass her driver’s license.,Relevant
Employees are notified by email that Chloé wants to pass her license.,Relevant
An employee asks for the date by responding to the email.,Relevant
Chloé communicates her availabilities by responding to the email.,Relevant
Then   she waits for several days.,Relevant
Then she decides to practice again her manoeuvres.,Relevant
Meanwhile   the employee is checking availability.,Relevant
Then she passes the driving license.,Relevant
An employee gives her the certificate of achievement.,Relevant
Chloé takes the certificate and leaves the place   the process is finished.,Relevant
The recruitment process starts with a presentation to the 1st and 2nd year bachelor students to introduce them to the company   its project   the role of the students  … and to inform them that the recruitment period will start two weeks later,Relevant
 These presentations are made exclusively in French,Irrelevant
 At the same time   activities are organised for interested people to get to know the company members in a more informal way,Relevant
 For example   these activities take the form of online drinks   escape games where the members of the company are mixed with the other participants   etc,Irrelevant
 The first week of the recruitment period is devoted to sending the candidates' CVs and their covering letters,Relevant
 The next two weeks consist of the analysis of the CVs and cover letters,Relevant
 Individual interviews are also conducted with the candidates during this period to learn more about them,Relevant
 These interviews take place in the company's offices,Irrelevant
 Candidates matching the required profiles are hired,Relevant
 If there are still vacancies   the company makes a new presentation and starts the process again until the desired profiles are found,Relevant
First   the customer places the desired items in their online shopping cart,Relevant
 They then proceed to check out their order,Relevant
 If they are satisfied   they select the way they want their order to be shipped and   if necessary   indicate the shipping address,Relevant
 They then fill in the details to make their payment,Relevant
 Once the payment has been received by the company   the order is validated and a recap email is sent to the customer,Relevant
 In parallel   the company contacts its warehouse to prepare the order,Relevant
 When the order is ready to be shipped   the company sends an email to inform the customer that the order is about to be shipped,Relevant
 The company then contacts its subcontractor who handles the deliveries to ship the product to the customer,Relevant
 During the contact between the company and its subcontractor   the subcontractor may talks about its cash flow problems and asks to be paid more quickly,Relevant
 When the package has been delivered   the company sends an email to the customer to confirm that he has received his order and   if he wishes   he can complete a satisfaction questionnaire,Relevant
 The satisfaction questionnaire is not mandatory,Irrelevant
       Uber Eats is a meal delivery service launched by Uber in 2015 and based in San Francisco   California,Irrelevant
       The process starts when the customer places an order through the Uber eats application,Relevant
       For example   a Big Mac Menu at Mcdonalds,Irrelevant
       Then the restaurant receives the customer's order and starts to prepare it,Relevant
       When the restaurant has almost finished preparing the order   an employee starts the automatic search for a delivery person,Relevant
       A delivery person receives the order and goes to the restaurant to collect it,Relevant
       The restaurant gives the order to the deliveryman and he starts his delivery,Relevant
       At that moment   the customer receives a notification and he can follow the deliverer through the map of the application,Relevant
       The delivery man arrives at the customer's home and gives him his order,Relevant
   The customer receives the order and checks if the order is complete,Relevant
   If something is missing the customer must contact the restaurant to receive the missing meal,Relevant
   The customer marks the delivery as completed and the delivery person does the same,Relevant
 The process is finished,Relevant
       Prozis is a European brand of sports nutrition   proteins   food supplements and clothing with quality products at the best price,Irrelevant
       The process starts when a customer places an order on Prozis.com,Relevant
       The order is registered as soon as the order is paid,Relevant
       Then   the order is prepared by the employees,Relevant
       When the order is complete   it is marked as ready to ship,Relevant
       When a carrier is available   the order is shipped,Relevant
       For each of the previous steps   the customer receives a notification on the website about the status of the step,Relevant
       One day before the reception of his order   the customer receives a sms concerning the approximate hour of delivery,Relevant
       If the customer is not at home   the order is dropped off at the nearest relay point,Relevant
   Then the customer receives or goes at the nearest relay point to get his order,Relevant
   The process ends when the customer receives the order,Relevant
      A client enters the restaurant to order food to go,Relevant
      The waiter goes to him to take his order,Relevant
      The client lists the food he wants,Relevant
      The waiter encodes it into the computer ,Relevant
      The waiter prints the ticket ,Relevant
      The waiter gives the ticket to the chefs,Relevant
      The clients pays for the order,Relevant
      Meanwhile   The chefs ask to the kitchen some ingredients to make the sushis,Relevant
      The kitchen guy gives the ingredients to the chefs,Relevant
  The chefs make the sushi rolls ,Relevant
  The waiter packs the order into a bag with baguettes and salsas to accompany the sushi ,Relevant
  The waiter gives the order to the client,Relevant
The client leaves,Relevant
      A client sits at a table,Relevant
      The waiter goes and gives him a menu,Relevant
      The client looks at the menu ,Relevant
      Once the client is ready to order   he makes a sign to the waiter,Relevant
      The waiter takes the orders,Relevant
      Coffees are excellent there ,Irrelevant
      The waiter gives the order to the kitchen   if the clients ordered something to eat ,Relevant
      Meanwhile   the waiter prepares the drinks with small biscuits to accompany it,Relevant
      The waiter brings the drinks to the client,Relevant
  The kitchen brings the food directly to the clients ,Relevant
  The clients drinks and eats ,Relevant
  The clients comes to pay at the counter,Relevant
The client leaves,Relevant
  Le Brull   is a dental clinic attached to the CHU of Liège. ,Irrelevant
The process begins when a patient arrives at the clinic.,Relevant
The patient goes to the reception desk   where he or she is asked whether it is an emergency or an appointment. ,Relevant
He or she presents his or her identity card so that his or her details can be checked. ,Relevant
In case of an appointment   the patient is directed to the waiting room   where the dentist concerned will come to collect him or her for treatment. ,Relevant
If it is an emergency   the patient is required to wait for an indefinite period of time and care will be provided according to the degree of urgency of his or her case. ,Relevant
For example   a broken tooth   an infection... ,Irrelevant
Once the work is completed   an invoice will be sent to the patient within 24 hours. ,Relevant
The patient leaves the clinic. ,Relevant
He will have to pay for his care as soon as the invoice is received. ,Relevant
If he has not paid after one month   a reminder is sent to him. ,Relevant
The clinic in Waremme has a very well known surgery department. ,Irrelevant
The process begins when the patient comes to the clinic's admissions desk.,Relevant
They are asked for their identity card.,Relevant
Then he is asked if he has insurance.,Relevant
 If so   we check the e-mail sent by the hospital insurance. ,Relevant
If not   we send it to the insurance terminal. ,Relevant
After this step   we explain the admission declaration   fill it out and has it signed. ,Relevant
The admission declaration includes among other things the choice of insurance   the costs of the stay   the pharmaceutical costs   etc. ,Irrelevant
