Sentence,Class
The process begins when someone is declaring a damage for which he wants to be compensated,Relevant
"For that; he has several ways to state the incident,Irrelevant"
The choice will impact the way the clerk will address the issue,Irrelevant
The claim management officer will firstly check if the person declaring is an actual client of Ethias,Relevant
"For the application or the website channel; this check will be done by the person itself,Relevant"
"Obviously; the victim must be a client of Ethias in order to be compensated; if not; the process ends here by informing the victim the steps that he should follow in order to be eligible for the coverage,Relevant"
"In some cases; when the incident is claimed by phone; the clerk starts by asking the victim if he or she needs some support such as a tow truck for instance,Relevant"
Then the victim will share key information with the officer of the claims management department to make the declaration,Relevant
"Whether it is by phone or by mail; the information is transcribed into the IT system,Relevant"
"If the declaration is done via the form in the application or website of Ethias; the information ends up directly in the IT system,Relevant"
"After that; the case is opened for the client and the process may continue with the case instruction and examination to see if it meets the conditions to compensate the victim,Relevant"
"To this end; the clerk will assess if there is a matter of liability in the case or not; as well as checking if the client contract covers the damage that occurred and assessing the level of damage by means of experts or by his experience,Relevant"
"At the same time; the case handler decides which type of reservation the case should follow,Relevant"
"In the perspective of an actuarial reservation; he informs the actuarial department by sending the case to it,Relevant"
"In the other perspective; the clerk defines the amount to reserve by himself and sends it to the actuarial department to be approved,Relevant"
"The case handler sees if the coverage conditions are fulfilled; that is to say that for cases of engaged liabilities the client should be considered liable; otherwise it’s not up to his insurance to compensate,Relevant"
The other condition is that the contract should cover the damage,Relevant
"In the end; a notification with the outcome will be sent to the client and if these conditions are well fulfilled; Ethias will compensate for the damage,Relevant"
The case is finally settled or unsettled,Relevant
"In order to understand the reservation process better; it is necessary to clarify its purpose in the context of an insurance company: reservation allows Ethias to deal with future compensation needs by means of statistical computation techniques ; for example; someone broke his leg this year and because of that; he might have complications like a need for a surgery years later,Relevant"
"Then; his insurance will have to compensate him once again,Relevant"
"That’s why; on the insurance side; they have to make a reservation in order to be prepared for these cases,Irrelevant"
"As seen in the claims management process; the clerk decides which type of reservation is needed based on his evaluation,Relevant"
"Actuarial reservation only deals with cases considered as recurrent and with a higher level of generality; also; they are most of the time short term cases,Irrelevant"
"Otherwise; the clerk determines and evaluates by himself the amount to reserve but still sends it to the actuarial department for approbation,Relevant"
"So for this process; when the claim management officer informs the actuary that the case needs an actuarial reservation; the latter collects all the data regarding the case by means of a database,Relevant"
Then he analyzes it in order to fix new hypotheses which will be used for computation,Relevant
This computation is handled by a mathematical program,Relevant
"Nevertheless; to find which model to use; the actuary follows precise guidelines and rules,Irrelevant"
The outcome of this computation will be checked by the actuarial control 4,Relevant
"If changes are needed; the actuary will adjust his model and repeat the computation,Relevant"
"After the approbation by the actuarial control; the assessment of the case is sent to the accounting department in order to be accounted for,Relevant"
It’s up to the actuary to communicate the reservation to the accounting department,Relevant
"To initiate this process; a product manager from the marketing or sales department requests to price a product,Relevant"
Then the actuary team of the tarification department will gather data and statistics about the type of incidence that the service covers,Relevant
The Ethias database is filled with information in order to develop a technical model of tarification to take into account the specific risks and give a first price for the premium,Relevant
"But this price does not always comply with the market demand and customer needs; this is the reason why the actuary team and the product manager exchange information to compute a model more suitable for the market,Relevant"
This second version of the model will be sent to the actuarial control in order to be reviewed and to check the perspective of profitability with the business plan,Relevant
"When the review is done; if changes are needed the actuary team takes care of remodelling it and shows the model to the actuarial control once again until it’s validated by it,Relevant"
This validation must be followed by the agreement of all the stakeholders that are linked with this pricing process,Relevant
Their agreement is necessary before establishing the tariff and sending it to the product manager,Irrelevant
The underwriting process begins when a demand for insurance coverage is perceived by the sales department,Relevant
"This demand is sent either by a peer-to-peer procedure between Ethias and the organisation; by a broker as an intermediate of the concerned company or by a tendering procedure on public markets,Relevant"
"This distinction doesn’t change the process in essence; but rather in the outcomes and the channel of communication,Irrelevant"
"Then the demand is transferred into the CRM system of Ethias either by the sales officer or; in some cases; automatically,Relevant"
"Next; the sales officer checks if this demand comply with the business guidelines of Ethias in strategic or relationship terms,Relevant"
"Generally; the case complies and continues its path towards the underwriting department to follow two successive analysis procedures: first; an acceptance analysis which is made in order to make the decision to keep such demand or to reject it,Relevant"
"If the underwriter doesn’t accept it then the process ends; otherwise he proceeds; in a second time; to a tarification analysis,Relevant"
These two phases are modelled as subprocesses which consist of multiple tasks that should be done before setting the tariff and the offer,Relevant
"In addition; a competence scheme helps to decide whether the offer needs to be agreed by two other third parties; BOL and HAC; or not; depending on the offer,Irrelevant"
They can eventually ask for adjustment before pursuing the process,Relevant
