sentence,class
The process starts when the need is notified by the receipt of a purchase order form by the service manager,Relevant
Then  the purchase department has to analyse the demand  if it is not ok  the demand is obviously rejected and the process ends,Relevant
Otherwise  they have to request a quote,Relevant
If the quote is asked to a new supplier  the purchasing department has to add it into the evaluation suppliers form  data base ,Relevant
Then  the financial management has to validate the quote  if it is not ok  the demand has to be analysed again but if it is financially ok  the service can be ordered so the service department asks for an intervention,Relevant
The supplier performs the requested service and sends the purchase documents  purchase order and invoice  afterwards,Relevant
Next  the purchasing department compares the purchase order with the invoice received and has to validate  if something is wrong  the invoice is not validated and the department contacts the supplier for another validation,Relevant
Otherwise  the financial department has to validate it a second time,Relevant
Again  if it is not ok  the purchase department has to compare it again but if it is ok  the financial department puts the invoice in payment and the process ends when the service provider is paid,Relevant
The process starts with the presentation of the candidate at the office,Relevant
He enrolls for the examination,Relevant
The centre manager checks the planning in the license database if the candidate is already planned,Relevant
If it is not the case  the centre has to create a new file for this candidate in the license database,Relevant
Then  he registers the candidate to the examination,Relevant
The applicant has to pay for his registration,Relevant
If the payment is not received  the candidate is rejected and the process ends,Relevant
Otherwise  the process continues and the centre manager checks the validity of the candidate and guide s ID cards,Relevant
If those are invalid  the candidate is rejected and the process ends,Relevant
If  on the contrary  the ID cards are acceptable  the centre manager checks the age conditions,Relevant
If those are not fulfilled  the candidate is rejected and the process ends,Relevant
Otherwise  the process continues and the centre checks that the ID card corresponds to the candidate,Relevant
If he notices a mismatch  the Chief examiner seizes his ID card and warns the authorities,Relevant
The candidate is rejected and the process ends,Relevant
If it corresponds  the centre checks the temporary driving license and the certificate from the municipality,Relevant
If those are invalid  the candidate is rejected and the process ends,Relevant
If those are valid  there are 2 possibilities,Relevant
Either the applicant has learned by a driving school or by another guide,Relevant
This second case requires an additional step  the centre checks the guide driving license,Relevant
If his driving license is invalid  the process ends and the candidate is rejected,Relevant
If it is valid  the process keeps going,Relevant
This step is not necessary if the candidate has learnt by a driving school,Relevant
Next  the centre checks the vehicle documents,Relevant
If those are not valid  the candidate is rejected and the process ends,Relevant
Otherwise  the process continues with the examiner who checks the vehicle state,Relevant
If he evaluates the car as defective  the candidate is rejected and the process ends,Relevant
On the contrary  if the vehicle is in good conditions  the centre manager makes a random selection of the examination track thanks to the IT system of the company and the candidate is allowed to take the examination,Relevant
The candidate is accepted and the process ends,Relevant
The process starts when the candidate arrives at the centre,Relevant
An employee of the centre completes the identity verification form at least every 25 candidates and checks the validity of the client s ID card  according to the regulation ,Relevant
If the ID card is not valid  the process ends and the client is refused,Relevant
If it is valid  the client s age is checked  once again according to the legislation,Relevant
If the candidate doesn t fulfil the age requirement  the process ends and he is refused,Relevant
In the case where the client fulfils the age requirement  the centre employee checks that the card corresponds to the candidate,Relevant
If the card is not corresponding to the candidate  the employee takes the ID card  warns the authorities and the process ends,Relevant
The client is thus refused because of failure and fraud,Relevant
If the card corresponds to the candidate  the centre employee checks the number of failures and the driving school certificate if necessary,Relevant
The employee then registers the candidate,Relevant
If a session is not available  the client asks the availability and or takes an appointment  then comes back to the beginning  arrival ,Relevant
If a session is available  he checks that the client is already in the database,Relevant
If the client isn t  the centre employee creates a new file in the Database Permis  ‘DB Permis  ,Relevant
If the client was already registered or has just been registered  the employee registers the candidates and checks his data,Relevant
After that the client has paid  the employee generates a session for the candidate  according to his category  from the ‘DB Permis  which generates a random series of questions,Relevant
The client takes the exam,Relevant
If a fraud is detected during the exam  the centre interrupts the exam and warns the authorities  the client is then refused  failure and fraud  and the process ends,Relevant
In each case  the results are printed by the centre,Relevant
If the exam is passed  the client takes the reading test  and the process ends with the delivery of the provisional driving licence  PCP   the results and some information,Relevant
If the exam is failed  the client is given the results of the exam,Relevant
The process starts when the candidate arrives at the examination centre,Relevant
There is a previous control of the vehicle by the examinator before he makes a random selection for the track with the IT system,Relevant
Then he takes note of the track and manoeuvres,Relevant
The customer makes the track and manoeuvres directed by the examinator  according to the traffic regulations ,Relevant
The examinator assesses the abilities of the candidate,Relevant
If he makes a dangerous manoeuvre  the exam is interrupted,Relevant
Otherwise the examinator makes a global assessment of the exam and he registers the assessments with the IT system,Relevant
He encodes the results and sends them to the server of the company  with the IT system and the protocol of the exam ,Relevant
Then he archives the protocol and at the same time  he gives the result to the candidate,Relevant
If the result is a success  the exam is passed but if it is a failure  the exam is failed,Relevant
The first step in the registration process is the quote calculation,Irrelevant
It begins when someone needs to obtain a tenant insurance,Relevant
The user will then take an interest in Flora and go to the website,Relevant
The customer will go on  découvrir mon prix  and so the quote calculation process begins,Relevant
The user is now on the page where he selects the type of housing,Relevant
It can be a house  2 or 3 faces   a villa  4 faces  or a flat,Irrelevant
Selecting an accommodation type enables the user to move forward to the next screen,Relevant
The user just has to click on the right button to go further  there is no  continue  button ,Relevant
Then the user has to enter his address to go further in the process,Relevant
When the user starts typing his address  a drop down list appears with all the street names corresponding to the entered characters,Relevant
In order to move forward  the user has to select one address in the Google results and the system moves on directly to the next page,Relevant
If the user enters an address abroad  the pop up window appears informing the user that Flora is only available in Belgium,Relevant
If the user lives in a zone subject to flooding  a pop up window also appears to say that the house is located in a zone subject to flooding and that the user cannot be insured for the moment  the user can be redirected to the Ethias website,Relevant
If the address is unknow   the message   Je ne trouve pas mon adresse   appears,Relevant
The user is redirected to the page where he has to enter manually his address  he has to complete manually all the fields,Relevant
If the address is known  located in Belgium and complete  the user clicks on  Confirmer  and is then redirected to the monthly rental amount page,Relevant
The monthly rental amount is a mandatory field,Irrelevant
If it is left empty  a warning red notice must ask the user to correctly fill it out  Max of characters  7 ,Relevant
If the user enters a higher rent  the pop up window appears informing the user that Flora doesn t insure properties with a rent higher than 1500€,Relevant
